stream_m3s,day,month,year,date,streamflow
49.271232,2,1,1949,1949-01-02,1.0813438439341596
30.015808,3,1,1949,1949-01-03,0.6587496980288559
20.8977984,4,1,1949,1949-01-04,0.4586389407031091
21.6906688,5,1,1949,1949-01-05,0.4760398761227393
78.720704,6,1,1949,1949-01-06,1.7276643023775657
57.766272,7,1,1949,1949-01-07,1.2677824377159115
35.112832,8,1,1949,1949-01-08,0.7706128542979068
24.9471008,9,1,1949,1949-01-09,0.5475080037390774
19.538592,10,1,1949,1949-01-10,0.4288087656980289
16.3104768,11,1,1949,1949-01-11,0.35796210006096324
12.9974112,12,1,1949,1949-01-12,0.28525104848608007
12.2894912,13,1,1949,1949-01-13,0.2697144990042674
11.2417696,14,1,1949,1949-01-14,0.2467204057711847
8.8065248,15,1,1949,1949-01-15,0.19327467555374925
9.344543999999999,16,1,1949,1949-01-16,0.20508245315992682
9.9958304,17,1,1949,1949-01-17,0.21937607868319445
9.769296,18,1,1949,1949-01-18,0.21440438284901445
9.8825632,19,1,1949,1949-01-19,0.21689023076610445
9.769296,20,1,1949,1949-01-20,0.21440438284901445
7.0508831999999995,21,1,1949,1949-01-21,0.15474403283885388
7.4190016,22,1,1949,1949-01-22,0.16282303856939645
7.2491008,23,1,1949,1949-01-23,0.15909426669376142
7.3340512,24,1,1949,1949-01-24,0.16095865263157896
8.211872,25,1,1949,1949-01-25,0.18022397398902662
6.5978144,26,1,1949,1949-01-26,0.1448006411704938
6.6827648,27,1,1949,1949-01-27,0.1466650271083113
7.0508831999999995,28,1,1949,1949-01-28,0.15474403283885388
7.8154368,29,1,1949,1949-01-29,0.17152350627921154
5.66336,30,1,1949,1949-01-30,0.12429239585450111
5.9182112,31,1,1949,1949-01-31,0.12988555366795368
6.1730624,1,2,1949,1949-02-01,0.13547871148140622
5.66336,2,2,1949,1949-02-02,0.12429239585450111
5.521776,3,2,1949,1949-02-03,0.1211850859581386
5.4368256,4,2,1949,1949-02-04,0.11932070002032107
5.3518752,5,2,1949,1949-02-05,0.11745631408250355
4.8988064,6,2,1949,1949-02-06,0.10751292241414347
5.2102912,7,2,1949,1949-02-07,0.11434900418614104
5.0403904,8,2,1949,1949-02-08,0.11062023231050598
5.0403904,9,2,1949,1949-02-09,0.11062023231050598
5.0403904,10,2,1949,1949-02-10,0.11062023231050598
4.6722719999999995,11,2,1949,1949-02-11,0.10254122657996341
4.24752,12,2,1949,1949-02-12,0.09321929689087584
4.95544,13,2,1949,1949-02-13,0.1087558463726885
8.6083072,14,2,1949,1949-02-14,0.1889244416988417
17.4997824,15,2,1949,1949-02-15,0.3840635031904085
36.528672,16,2,1949,1949-02-16,0.8016859532615322
24.380764799999998,17,2,1949,1949-02-17,0.5350787641536272
14.724736,18,2,1949,1949-02-18,0.3231602292217029
12.9124608,19,2,1949,1949-02-19,0.2833866625482625
13.308895999999999,20,2,1949,1949-02-20,0.29208713025807764
12.5443424,21,2,1949,1949-02-21,0.27530765681771996
10.6754336,22,2,1949,1949-02-22,0.23429116618573462
12.176224,23,2,1949,1949-02-23,0.26722865108717736
10.5621664,24,2,1949,1949-02-24,0.23180531826864462
10.2223648,25,2,1949,1949-02-25,0.2243477745173745
10.1090976,26,2,1949,1949-02-26,0.2218619266002845
8.0986048,27,2,1949,1949-02-27,0.1777381260719366
8.211872,28,2,1949,1949-02-28,0.18022397398902662
8.0136544,1,3,1949,1949-03-01,0.17587374013411908
7.2491008,2,3,1949,1949-03-02,0.15909426669376142
6.9659328,3,3,1949,1949-03-03,0.1528796469010364
6.5128639999999995,4,3,1949,1949-03-04,0.14293625523267628
7.4190016,5,3,1949,1949-03-05,0.16282303856939645
23.6162112,6,3,1949,1949-03-06,0.5182992907132696
22.795023999999998,7,3,1949,1949-03-07,0.500276893314367
14.2150336,8,3,1949,1949-03-08,0.3119739135947978
12.6859264,9,3,1949,1949-03-09,0.2784149667140825
11.6665216,10,3,1949,1949-03-10,0.2560423354602723
11.1568192,11,3,1949,1949-03-11,0.2448560198333672
10.6754336,12,3,1949,1949-03-12,0.23429116618573462
9.344543999999999,13,3,1949,1949-03-13,0.20508245315992682
8.919792,14,3,1949,1949-03-14,0.19576052347083925
8.8065248,15,3,1949,1949-03-15,0.19327467555374925
7.8154368,16,3,1949,1949-03-16,0.17152350627921154
7.6172192,17,3,1949,1949-03-17,0.167173272424304
7.0508831999999995,18,3,1949,1949-03-18,0.15474403283885388
6.5128639999999995,19,3,1949,1949-03-19,0.14293625523267628
6.0031616,20,3,1949,1949-03-20,0.1317499396057712
6.5128639999999995,21,3,1949,1949-03-21,0.14293625523267628
8.4100896,22,3,1949,1949-03-22,0.18457420784393413
24.7772,23,3,1949,1949-03-23,0.5437792318634423
27.467296,24,3,1949,1949-03-24,0.6028181198943305
21.520768,25,3,1949,1949-03-25,0.47231110424710426
26.6744256,26,3,1949,1949-03-26,0.5854171844747003
38.22768,27,3,1949,1949-03-27,0.8389736720178825
46.439552,28,3,1949,1949-03-28,1.0191976460069092
33.98016,29,3,1949,1949-03-29,0.7457543751270067
21.2376,30,3,1949,1949-03-30,0.4660964844543792
15.9706752,31,3,1949,1949-03-31,0.3505045563096931
13.1956288,1,4,1949,1949-04-01,0.2896012823409876
11.4116704,2,4,1949,1949-04-02,0.2504491776468198
10.2223648,3,4,1949,1949-04-03,0.2243477745173745
9.6560288,4,4,1949,1949-04-04,0.2119185349319244
8.919792,5,4,1949,1949-04-05,0.19576052347083925
11.7797888,6,4,1949,1949-04-06,0.25852818337736233
14.8380032,7,4,1949,1949-04-07,0.3256460771387929
14.0734496,8,4,1949,1949-04-08,0.30886660369843527
13.818598399999999,9,4,1949,1949-04-09,0.30327344588498273
11.043552,10,4,1949,1949-04-10,0.2423701719162772
11.1568192,11,4,1949,1949-04-11,0.2448560198333672
11.6665216,12,4,1949,1949-04-12,0.2560423354602723
11.9213728,13,4,1949,1949-04-13,0.2616354932737249
12.2894912,14,4,1949,1949-04-14,0.2697144990042674
12.317808,15,4,1949,1949-04-15,0.2703359609835399
19.963344,16,4,1949,1949-04-16,0.4381306953871164
14.3283008,17,4,1949,1949-04-17,0.3144597615118878
11.2984032,18,4,1949,1949-04-18,0.24796332972972973
13.9318656,19,4,1949,1949-04-19,0.3057592938020728
13.308895999999999,20,4,1949,1949-04-20,0.29208713025807764
15.3477056,21,4,1949,1949-04-21,0.336832392765698
16.7635456,22,4,1949,1949-04-22,0.36790549172932335
19.9067104,23,4,1949,1949-04-23,0.43688777142857144
